show_id,Type,Title,Director,Country,Date_added,Date_Added,Release_Year,Rating,Duration,Listed_In,IMDB_Rating,IMBD_Votes
s123,Movie,Lokillo: Nothing's the Same,Julián Gaviria,Colombia,8/25/2021,4/30/2021,2021,TV-MA,64 min,Stand-Up Comedy,4.6,51
s3217,Movie,Red Snow,Marie Clements,Canada,9/15/2021,5/18/2021,2019,TV-MA,96 min,Dramas,4.6,154
s234,Movie,A Haunted House 2,Michael Tiddes,United States,07-01-2021,2/05/2020,2014,R,86 min,"Comedies, Horror Movies",4.6,21514
s4498,Movie,Only Mine,Michael Civille,United States,5/26/2021,6/07/2021,2019,TV-14,88 min,Thrillers,4.6,3013
s418,Movie,Hello Brother,Sohail Khan,India,03-01-2021,10/06/2020,1999,TV-14,126 min,"Action & Adventure, Comedies, International Movies",4.6,4230
s421,Movie,Full Out 2: You Got This!,Jeff Deverett,United States,03-01-2021,3/27/2020,2020,TV-Y,91 min,"Children & Family Movies, Dramas, Sports Movies",4.6,504
s481,Movie,Bodyguard,Siddique,India,01-04-2021,3/27/2020,2011,TV-14,130 min,"Action & Adventure, Comedies, International Movies",4.6,25592
s867,Movie,We Are One,Stéphane de Freitas,France,09-11-2020,12/06/2019,2020,TV-MA,86 min,"Documentaries, International Movies, Music & Musicals",4.6,92
s1285,Movie,Shimla Mirchi,Ramesh Sippy,India,04-10-2020,3/09/2020,2020,TV-14,121 min,"Comedies, International Movies, Romantic Movies",4.6,1492
s1320,Movie,Half Girlfriend,Mohit Suri,India,04-01-2020,2/11/2019,2017,TV-14,129 min,"Dramas, International Movies, Romantic Movies",4.6,7090
s1454,Movie,Paradise Beach,Xavier Durringer,France,1/17/2020,1/15/2019,2019,TV-MA,94 min,"Action & Adventure, Dramas, International Movies",4.6,2225
s1499,Movie,Rattlesnake,Zak Hilditch,United States,12/25/2019,6/07/2018,2019,TV-MA,86 min,"Horror Movies, Independent Movies, Thrillers",4.6,8487
s1638,Movie,Eerie,Mikhail Red,Philippines,11-02-2019,1/16/2021,2019,TV-14,100 min,"Horror Movies, International Movies",4.6,2297
s1900,Movie,Paris Is Us,Elisabeth Vogler,France,5/15/2019,3/09/2018,2019,TV-MA,84 min,"Dramas, Independent Movies, International Movies",4.6,1410
s1969,Movie,Next Enti?,Kunal Kohli,India,04-10-2019,4/09/2021,2018,TV-14,117 min,"Comedies, Dramas, International Movies",4.6,159
s2148,Movie,Kuntilanak,Rizal Mantovani,Indonesia,12/31/2018,1/01/2020,2018,TV-14,106 min,"Horror Movies, International Movies",4.6,651
s2288,Movie,The Mansion,Tony Datis,France,10/26/2018,1/15/2018,2017,TV-MA,100 min,"Comedies, Horror Movies, International Movies",4.6,2592
s2399,Movie,My Perfect Romance,Justin G. Dyck,Canada,8/28/2018,2/07/2018,2018,PG,92 min,"Comedies, International Movies, Romantic Movies",4.6,3012
s2528,Movie,Harith Iskander: I Told You So,Michael McKay,United States,6/22/2018,1/09/2017,2018,TV-14,62 min,Stand-Up Comedy,4.6,172
s2952,Movie,I Am the Pretty Thing That Lives in the House,Osgood Perkins,Canada,06-05-2017,7/15/2021,2016,TV-14,89 min,"Horror Movies, International Movies, Thrillers",4.6,14491
s2740,Movie,The Seventh Day,Justin P. Lange,United States,07-10-2021,12/23/2017,2021,R,87 min,Horror Movies,4.5,4248
s3969,Movie,Deadly Switch,Svetlana Cvetko,United States,06-11-2021,3/27/2020,2019,TV-PG,86 min,"Independent Movies, Thrillers",4.5,1303
